pulse_amp,poisson_l,mean_afr,kappa,sim_duration
0.01,20,0.5299469828605652,0.3982430100440979,1.5933561325073242
0.01,50,0.45995399355888367,0.434616357088089,0.46761393547058105
0.01,100,0.45995399355888367,0.434616357088089,0.46242499351501465
0.01,200,0.45995399355888367,0.434616357088089,0.4656808376312256
0.01,500,0.45995399355888367,0.434616357088089,0.4765009880065918
0.1,20,5.919407844543457,0.218679741024971,0.48906397819519043
0.1,50,3.819617748260498,0.24073216319084167,0.5449569225311279
0.1,100,2.2297768592834473,0.26752281188964844,0.45575714111328125
0.1,200,0.8699129819869995,0.41393736004829407,0.45441508293151855
0.1,500,0.8699129819869995,0.41393736004829407,0.5520370006561279
0.5,20,6.4693522453308105,0.22754347324371338,0.45606398582458496
0.5,50,4.01959753036499,0.2461201548576355,0.4550647735595703
0.5,100,2.4897513389587402,0.28968802094459534,0.45639514923095703
0.5,200,0.7399259805679321,0.3463486135005951,0.4597508907318115
0.5,500,0.7399259805679321,0.3463486135005951,0.4535360336303711
1.0,20,6.539345741271973,0.24640193581581116,0.4535050392150879
1.0,50,3.7296268939971924,0.24153541028499603,0.4678788185119629
1.0,100,2.199780225753784,0.2867644727230072,0.4600100517272949
1.0,200,0.4699530005455017,0.3317048251628876,0.45977187156677246
1.0,500,0.4699530005455017,0.3317048251628876,0.4554150104522705
3.3,20,6.799319267272949,0.2644859254360199,0.45424509048461914
3.3,50,3.7596240043640137,0.25023704767227173,0.4531528949737549
3.3,100,2.1797823905944824,0.29074493050575256,0.45304179191589355
3.3,200,0.4699530005455017,0.3312438130378723,0.45760607719421387
3.3,500,0.4699530005455017,0.3312438130378723,0.4550609588623047
10.0,20,7.249274730682373,0.3039848208427429,0.4588131904602051
10.0,50,3.809619426727295,0.270483136177063,0.4569358825683594
10.0,100,2.149785041809082,0.3007916510105133,0.45659399032592773
10.0,200,0.4899510145187378,0.377286821603775,0.4636857509613037
10.0,500,0.4899510145187378,0.377286821603775,0.4612538814544678
